,Survived,Pclass,Sex,Age,Has_Cabin,Fare,Embarked,Family_Size,Title,Age_Group
0,0,3,M,22.0,0,7.25,S,2,Mr,Adult
1,1,1,F,38.0,1,71.2833,C,2,Mrs,Adult
2,1,3,F,26.0,0,7.925,S,1,Miss,Adult
3,1,1,F,35.0,1,53.1,S,2,Mrs,Adult
4,0,3,M,35.0,0,8.05,S,1,Mr,Adult
5,0,3,M,28.0,0,8.4583,Q,1,Mr,Adult
6,0,1,M,54.0,1,51.8625,S,1,Mr,Adult
7,0,3,M,2.0,0,21.075,S,5,Master,Toddler
8,1,3,F,27.0,0,11.1333,S,3,Mrs,Adult
9,1,2,F,14.0,0,30.0708,C,2,Mrs,Teenager
10,1,3,F,4.0,1,16.7,S,3,Miss,Child
11,1,1,F,58.0,1,26.55,S,1,Miss,Adult
12,0,3,M,20.0,0,8.05,S,1,Mr,Adult
13,0,3,M,39.0,0,31.275,S,7,Mr,Adult
14,0,3,F,14.0,0,7.8542,S,1,Miss,Teenager
15,1,2,F,55.0,0,16.0,S,1,Mrs,Adult
16,0,3,M,2.0,0,29.125,Q,6,Master,Toddler
17,1,2,M,28.0,0,13.0,S,1,Mr,Adult
18,0,3,F,31.0,0,18.0,S,2,Mrs,Adult
19,1,3,F,28.0,0,7.225,C,1,Mrs,Adult
20,0,2,M,35.0,0,26.0,S,1,Mr,Adult
21,1,2,M,34.0,1,13.0,S,1,Mr,Adult
22,1,3,F,15.0,0,8.0292,Q,1,Miss,Teenager
23,1,1,M,28.0,1,35.5,S,1,Mr,Adult
24,0,3,F,8.0,0,21.075,S,5,Miss,Child
25,1,3,F,38.0,0,31.3875,S,7,Mrs,Adult
26,0,3,M,28.0,0,7.225,C,1,Mr,Adult
27,0,1,M,19.0,1,263.0,S,6,Mr,Adult
28,1,3,F,28.0,0,7.8792,Q,1,Miss,Adult
29,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
30,0,1,M,40.0,0,27.7208,C,1,Other,Adult
31,1,1,F,28.0,1,146.5208,C,2,Mrs,Adult
32,1,3,F,28.0,0,7.75,Q,1,Miss,Adult
33,0,2,M,66.0,0,10.5,S,1,Mr,Senior
34,0,1,M,28.0,0,82.1708,C,2,Mr,Adult
35,0,1,M,42.0,0,52.0,S,2,Mr,Adult
36,1,3,M,28.0,0,7.2292,C,1,Mr,Adult
37,0,3,M,21.0,0,8.05,S,1,Mr,Adult
38,0,3,F,18.0,0,18.0,S,3,Miss,Adult
39,1,3,F,14.0,0,11.2417,C,2,Miss,Teenager
40,0,3,F,40.0,0,9.475,S,2,Mrs,Adult
41,0,2,F,27.0,0,21.0,S,2,Mrs,Adult
42,0,3,M,28.0,0,7.8958,C,1,Mr,Adult
43,1,2,F,3.0,0,41.5792,C,4,Miss,Child
44,1,3,F,19.0,0,7.8792,Q,1,Miss,Adult
45,0,3,M,28.0,0,8.05,S,1,Mr,Adult
46,0,3,M,28.0,0,15.5,Q,2,Mr,Adult
47,1,3,F,28.0,0,7.75,Q,1,Miss,Adult
48,0,3,M,28.0,0,21.6792,C,3,Mr,Adult
49,0,3,F,18.0,0,17.8,S,2,Mrs,Adult
50,0,3,M,7.0,0,39.6875,S,6,Master,Child
51,0,3,M,21.0,0,7.8,S,1,Mr,Adult
52,1,1,F,49.0,1,76.7292,C,2,Mrs,Adult
53,1,2,F,29.0,0,26.0,S,2,Mrs,Adult
54,0,1,M,65.0,1,61.9792,C,2,Mr,Senior
55,1,1,M,28.0,1,35.5,S,1,Mr,Adult
56,1,2,F,21.0,0,10.5,S,1,Miss,Adult
57,0,3,M,28.5,0,7.2292,C,1,Mr,Adult
58,1,2,F,5.0,0,27.75,S,4,Miss,Child
59,0,3,M,11.0,0,46.9,S,8,Master,Teenager
60,0,3,M,22.0,0,7.2292,C,1,Mr,Adult
61,1,1,F,38.0,1,80.0,C,1,Miss,Adult
62,0,1,M,45.0,1,83.475,S,2,Mr,Adult
63,0,3,M,4.0,0,27.9,S,6,Master,Child
64,0,1,M,28.0,0,27.7208,C,1,Mr,Adult
65,1,3,M,28.0,0,15.2458,C,3,Master,Adult
66,1,2,F,29.0,1,10.5,S,1,Mrs,Adult
67,0,3,M,19.0,0,8.1583,S,1,Mr,Adult
68,1,3,F,17.0,0,7.925,S,7,Miss,Teenager
69,0,3,M,26.0,0,8.6625,S,3,Mr,Adult
70,0,2,M,32.0,0,10.5,S,1,Mr,Adult
71,0,3,F,16.0,0,46.9,S,8,Miss,Teenager
72,0,2,M,21.0,0,73.5,S,1,Mr,Adult
73,0,3,M,26.0,0,14.4542,C,2,Mr,Adult
74,1,3,M,32.0,0,56.4958,S,1,Mr,Adult
75,0,3,M,25.0,1,7.65,S,1,Mr,Adult
76,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
77,0,3,M,28.0,0,8.05,S,1,Mr,Adult
78,1,2,M,0.83,0,29.0,S,3,Master,Baby
79,1,3,F,30.0,0,12.475,S,1,Miss,Adult
80,0,3,M,22.0,0,9.0,S,1,Mr,Adult
81,1,3,M,29.0,0,9.5,S,1,Mr,Adult
82,1,3,F,28.0,0,7.7875,Q,1,Miss,Adult
83,0,1,M,28.0,0,47.1,S,1,Mr,Adult
84,1,2,F,17.0,0,10.5,S,1,Miss,Teenager
85,1,3,F,33.0,0,15.85,S,4,Mrs,Adult
86,0,3,M,16.0,0,34.375,S,5,Mr,Teenager
87,0,3,M,28.0,0,8.05,S,1,Mr,Adult
88,1,1,F,23.0,1,263.0,S,6,Miss,Adult
89,0,3,M,24.0,0,8.05,S,1,Mr,Adult
90,0,3,M,29.0,0,8.05,S,1,Mr,Adult
91,0,3,M,20.0,0,7.8542,S,1,Mr,Adult
92,0,1,M,46.0,1,61.175,S,2,Mr,Adult
93,0,3,M,26.0,0,20.575,S,4,Mr,Adult
94,0,3,M,59.0,0,7.25,S,1,Mr,Adult
95,0,3,M,28.0,0,8.05,S,1,Mr,Adult
96,0,1,M,71.0,1,34.6542,C,1,Mr,Senior
97,1,1,M,23.0,1,63.3583,C,2,Mr,Adult
98,1,2,F,34.0,0,23.0,S,2,Mrs,Adult
99,0,2,M,34.0,0,26.0,S,2,Mr,Adult
100,0,3,F,28.0,0,7.8958,S,1,Miss,Adult
101,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
102,0,1,M,21.0,1,77.2875,S,2,Mr,Adult
103,0,3,M,33.0,0,8.6542,S,1,Mr,Adult
104,0,3,M,37.0,0,7.925,S,3,Mr,Adult
105,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
106,1,3,F,21.0,0,7.65,S,1,Miss,Adult
107,1,3,M,28.0,0,7.775,S,1,Mr,Adult
108,0,3,M,38.0,0,7.8958,S,1,Mr,Adult
109,1,3,F,28.0,0,24.15,Q,2,Miss,Adult
110,0,1,M,47.0,1,52.0,S,1,Mr,Adult
111,0,3,F,14.5,0,14.4542,C,2,Miss,Teenager
112,0,3,M,22.0,0,8.05,S,1,Mr,Adult
113,0,3,F,20.0,0,9.825,S,2,Miss,Adult
114,0,3,F,17.0,0,14.4583,C,1,Miss,Teenager
115,0,3,M,21.0,0,7.925,S,1,Mr,Adult
116,0,3,M,70.5,0,7.75,Q,1,Mr,Senior
117,0,2,M,29.0,0,21.0,S,2,Mr,Adult
118,0,1,M,24.0,1,247.5208,C,2,Mr,Adult
119,0,3,F,2.0,0,31.275,S,7,Miss,Toddler
120,0,2,M,21.0,0,73.5,S,3,Mr,Adult
121,0,3,M,28.0,0,8.05,S,1,Mr,Adult
122,0,2,M,32.5,0,30.0708,C,2,Mr,Adult
123,1,2,F,32.5,1,13.0,S,1,Miss,Adult
124,0,1,M,54.0,1,77.2875,S,2,Mr,Adult
125,1,3,M,12.0,0,11.2417,C,2,Master,Teenager
126,0,3,M,28.0,0,7.75,Q,1,Mr,Adult
127,1,3,M,24.0,0,7.1417,S,1,Mr,Adult
128,1,3,F,28.0,1,22.3583,C,3,Miss,Adult
129,0,3,M,45.0,0,6.975,S,1,Mr,Adult
130,0,3,M,33.0,0,7.8958,C,1,Mr,Adult
131,0,3,M,20.0,0,7.05,S,1,Mr,Adult
132,0,3,F,47.0,0,14.5,S,2,Mrs,Adult
133,1,2,F,29.0,0,26.0,S,2,Mrs,Adult
134,0,2,M,25.0,0,13.0,S,1,Mr,Adult
135,0,2,M,23.0,0,15.0458,C,1,Mr,Adult
136,1,1,F,19.0,1,26.2833,S,3,Miss,Adult
137,0,1,M,37.0,1,53.1,S,2,Mr,Adult
138,0,3,M,16.0,0,9.2167,S,1,Mr,Teenager
139,0,1,M,24.0,1,79.2,C,1,Mr,Adult
140,0,3,F,28.0,0,15.2458,C,3,Mrs,Adult
141,1,3,F,22.0,0,7.75,S,1,Miss,Adult
142,1,3,F,24.0,0,15.85,S,2,Mrs,Adult
143,0,3,M,19.0,0,6.75,Q,1,Mr,Adult
144,0,2,M,18.0,0,11.5,S,1,Mr,Adult
145,0,2,M,19.0,0,36.75,S,3,Mr,Adult
146,1,3,M,27.0,0,7.7958,S,1,Mr,Adult
147,0,3,F,9.0,0,34.375,S,5,Miss,Child
148,0,2,M,36.5,1,26.0,S,3,Mr,Adult
149,0,2,M,42.0,0,13.0,S,1,Rev,Adult
150,0,2,M,51.0,0,12.525,S,1,Rev,Adult
151,1,1,F,22.0,1,66.6,S,2,Mrs,Adult
152,0,3,M,55.5,0,8.05,S,1,Mr,Adult
153,0,3,M,40.5,0,14.5,S,3,Mr,Adult
154,0,3,M,28.0,0,7.3125,S,1,Mr,Adult
155,0,1,M,51.0,0,61.3792,C,2,Mr,Adult
156,1,3,F,16.0,0,7.7333,Q,1,Miss,Teenager
157,0,3,M,30.0,0,8.05,S,1,Mr,Adult
158,0,3,M,28.0,0,8.6625,S,1,Mr,Adult
159,0,3,M,28.0,0,69.55,S,11,Master,Adult
160,0,3,M,44.0,0,16.1,S,2,Mr,Adult
161,1,2,F,40.0,0,15.75,S,1,Mrs,Adult
162,0,3,M,26.0,0,7.775,S,1,Mr,Adult
163,0,3,M,17.0,0,8.6625,S,1,Mr,Teenager
164,0,3,M,1.0,0,39.6875,S,6,Master,Toddler
165,1,3,M,9.0,0,20.525,S,3,Master,Child
166,1,1,F,28.0,1,55.0,S,2,Mrs,Adult
167,0,3,F,45.0,0,27.9,S,6,Mrs,Adult
168,0,1,M,28.0,0,25.925,S,1,Mr,Adult
169,0,3,M,28.0,0,56.4958,S,1,Mr,Adult
170,0,1,M,61.0,1,33.5,S,1,Mr,Adult
171,0,3,M,4.0,0,29.125,Q,6,Master,Child
172,1,3,F,1.0,0,11.1333,S,3,Miss,Toddler
173,0,3,M,21.0,0,7.925,S,1,Mr,Adult
174,0,1,M,56.0,1,30.6958,C,1,Mr,Adult
175,0,3,M,18.0,0,7.8542,S,3,Mr,Adult
176,0,3,M,28.0,0,25.4667,S,5,Master,Adult
177,0,1,F,50.0,1,28.7125,C,1,Miss,Adult
178,0,2,M,30.0,0,13.0,S,1,Mr,Adult
179,0,3,M,36.0,0,0.0,S,1,Mr,Adult
180,0,3,F,28.0,0,69.55,S,11,Miss,Adult
181,0,2,M,28.0,0,15.05,C,1,Mr,Adult
182,0,3,M,9.0,0,31.3875,S,7,Master,Child
183,1,2,M,1.0,1,39.0,S,4,Master,Toddler
184,1,3,F,4.0,0,22.025,S,3,Miss,Child
185,0,1,M,28.0,1,50.0,S,1,Mr,Adult
186,1,3,F,28.0,0,15.5,Q,2,Mrs,Adult
187,1,1,M,45.0,0,26.55,S,1,Mr,Adult
188,0,3,M,40.0,0,15.5,Q,3,Mr,Adult
189,0,3,M,36.0,0,7.8958,S,1,Mr,Adult
190,1,2,F,32.0,0,13.0,S,1,Mrs,Adult
191,0,2,M,19.0,0,13.0,S,1,Mr,Adult
192,1,3,F,19.0,0,7.8542,S,2,Miss,Adult
193,1,2,M,3.0,1,26.0,S,3,Master,Child
194,1,1,F,44.0,1,27.7208,C,1,Mrs,Adult
195,1,1,F,58.0,1,146.5208,C,1,Miss,Adult
196,0,3,M,28.0,0,7.75,Q,1,Mr,Adult
197,0,3,M,42.0,0,8.4042,S,2,Mr,Adult
198,1,3,F,28.0,0,7.75,Q,1,Miss,Adult
199,0,2,F,24.0,0,13.0,S,1,Miss,Adult
200,0,3,M,28.0,0,9.5,S,1,Mr,Adult
201,0,3,M,28.0,0,69.55,S,11,Mr,Adult
202,0,3,M,34.0,0,6.4958,S,1,Mr,Adult
203,0,3,M,45.5,0,7.225,C,1,Mr,Adult
204,1,3,M,18.0,0,8.05,S,1,Mr,Adult
205,0,3,F,2.0,1,10.4625,S,2,Miss,Toddler
206,0,3,M,32.0,0,15.85,S,2,Mr,Adult
207,1,3,M,26.0,0,18.7875,C,1,Mr,Adult
208,1,3,F,16.0,0,7.75,Q,1,Miss,Teenager
209,1,1,M,40.0,1,31.0,C,1,Mr,Adult
210,0,3,M,24.0,0,7.05,S,1,Mr,Adult
211,1,2,F,35.0,0,21.0,S,1,Miss,Adult
212,0,3,M,22.0,0,7.25,S,1,Mr,Adult
213,0,2,M,30.0,0,13.0,S,1,Mr,Adult
214,0,3,M,28.0,0,7.75,Q,2,Mr,Adult
215,1,1,F,31.0,1,113.275,C,2,Miss,Adult
216,1,3,F,27.0,0,7.925,S,1,Miss,Adult
217,0,2,M,42.0,0,27.0,S,2,Mr,Adult
218,1,1,F,32.0,1,76.2917,C,1,Miss,Adult
219,0,2,M,30.0,0,10.5,S,1,Mr,Adult
220,1,3,M,16.0,0,8.05,S,1,Mr,Teenager
221,0,2,M,27.0,0,13.0,S,1,Mr,Adult
222,0,3,M,51.0,0,8.05,S,1,Mr,Adult
223,0,3,M,28.0,0,7.8958,S,1,Mr,Adult
224,1,1,M,38.0,1,90.0,S,2,Mr,Adult
225,0,3,M,22.0,0,9.35,S,1,Mr,Adult
226,1,2,M,19.0,0,10.5,S,1,Mr,Adult
227,0,3,M,20.5,0,7.25,S,1,Mr,Adult
228,0,2,M,18.0,0,13.0,S,1,Mr,Adult
229,0,3,F,28.0,0,25.4667,S,5,Miss,Adult
230,1,1,F,35.0,1,83.475,S,2,Mrs,Adult
231,0,3,M,29.0,0,7.775,S,1,Mr,Adult
232,0,2,M,59.0,0,13.5,S,1,Mr,Adult
233,1,3,F,5.0,0,31.3875,S,7,Miss,Child
234,0,2,M,24.0,0,10.5,S,1,Mr,Adult
235,0,3,F,28.0,0,7.55,S,1,Miss,Adult
236,0,2,M,44.0,0,26.0,S,2,Mr,Adult
237,1,2,F,8.0,0,26.25,S,3,Miss,Child
238,0,2,M,19.0,0,10.5,S,1,Mr,Adult
239,0,2,M,33.0,0,12.275,S,1,Mr,Adult
240,0,3,F,28.0,0,14.4542,C,2,Miss,Adult
241,1,3,F,28.0,0,15.5,Q,2,Miss,Adult
242,0,2,M,29.0,0,10.5,S,1,Mr,Adult
243,0,3,M,22.0,0,7.125,S,1,Mr,Adult
244,0,3,M,30.0,0,7.225,C,1,Mr,Adult
245,0,1,M,44.0,1,90.0,Q,3,Dr,Adult
246,0,3,F,25.0,0,7.775,S,1,Miss,Adult
247,1,2,F,24.0,0,14.5,S,3,Mrs,Adult
248,1,1,M,37.0,1,52.5542,S,3,Mr,Adult
249,0,2,M,54.0,0,26.0,S,2,Rev,Adult
250,0,3,M,28.0,0,7.25,S,1,Mr,Adult
251,0,3,F,29.0,1,10.4625,S,3,Mrs,Adult
252,0,1,M,62.0,1,26.55,S,1,Mr,Adult
253,0,3,M,30.0,0,16.1,S,2,Mr,Adult
254,0,3,F,41.0,0,20.2125,S,3,Mrs,Adult
255,1,3,F,29.0,0,15.2458,C,3,Mrs,Adult
256,1,1,F,28.0,0,79.2,C,1,Mrs,Adult
257,1,1,F,30.0,1,86.5,S,1,Miss,Adult
258,1,1,F,35.0,0,512.3292,C,1,Miss,Adult
259,1,2,F,50.0,0,26.0,S,2,Mrs,Adult
260,0,3,M,28.0,0,7.75,Q,1,Mr,Adult
261,1,3,M,3.0,0,31.3875,S,7,Master,Child
262,0,1,M,52.0,1,79.65,S,3,Mr,Adult
263,0,1,M,40.0,1,0.0,S,1,Mr,Adult
264,0,3,F,28.0,0,7.75,Q,1,Miss,Adult
265,0,2,M,36.0,0,10.5,S,1,Mr,Adult
